Entity Name	Legal Name	Ultimate Parent	Parent Domicile (ISO alpha-2)	Is Public (Y/N)	Stock Exchange (N/A if private)	Ticker	ISIN (N/A if unavailable)	Source	Notes
Toyota Motor Corporation	Toyota Motor Corporation	Toyota Motor Corporation	JP	Y	Tokyo Stock Exchange	7203	JP3633400001	Public Filings	N/A
JPMorgan Chase	JPMorgan Chase & Co.	JPMorgan Chase & Co.	US	Y	NYSE	JPM	US46625H1005	SEC Filings	N/A
Royal Dutch Shell	Shell plc	Shell plc	GB	Y	LSE	SHEL	GB00BP6MXD84	LSE Filings	Renamed from Royal Dutch Shell plc to Shell plc in Jan 2022.
Tata Consultancy Services	Tata Consultancy Services Limited	Tata Sons Private Limited	IN	Y	NSE	TCS	INE467B01029	NSE India	Parent (Tata Sons) is private; TCS is public.
Petrobras	Petróleo Brasileiro S.A. - Petrobras	Government of Brazil	BR	Y	B3	PETR4	BRPETRACNPR6	B3 Filings	State-controlled entity.
AIA Group	AIA Group Limited	AIA Group Limited	HK	Y	HKEX	1299	HK0000069689	HKEX Filings	N/A
Nokia Oyj	Nokia Oyj	Nokia Oyj	FI	Y	Nasdaq Helsinki	NOKIA	FI0009000681	Nasdaq	N/A
Credit Suisse	Credit Suisse AG	UBS Group AG	CH	Y	SIX	UBSG	CH0244767585	UBS Investor Relations	Acquired by UBS Group AG in June 2023.
Instagram	Instagram, LLC	Meta Platforms, Inc.	US	Y	NASDAQ	META	US30303M1027	SEC Filings	Subsidiary of Meta Platforms, Inc.
YouTube	YouTube, LLC	Alphabet Inc.	US	Y	NASDAQ	GOOGL	US02079K3059	SEC Filings	Subsidiary of Alphabet Inc.
Fidelity International	FIL Limited	FIL Limited	BM	N	N/A	N/A	N/A	Company Website	Private; independent from US-based Fidelity Investments (FMR).
Skype Technologies	Skype Communications S.à r.l.	Microsoft Corporation	US	Y	NASDAQ	MSFT	US5949181045	Microsoft Filings	Subsidiary of Microsoft Corporation.
LinkedIn Corporation	LinkedIn Corporation	Microsoft Corporation	US	Y	NASDAQ	MSFT	US5949181045	Microsoft Filings	Subsidiary of Microsoft Corporation.
Aramco	Saudi Arabian Oil Company	Government of Saudi Arabia	SA	Y	Tadawul	2222	SA14TG012N13	Tadawul Filings	State-controlled entity.
Infosys Limited	Infosys Limited	Infosys Limited	IN	Y	NSE	INFY	INE009A01021	NSE India	N/A
Banco Santander	Banco Santander, S.A.	Banco Santander, S.A.	ES	Y	BMAD	SAN	ES0113900J37	CNMV Filings	N/A
BHP Group	BHP Group Limited	BHP Group Limited	AU	Y	ASX	BHP	AU000000BHP4	ASX Filings	Unified dual-listed structure in 2022.
ICBC	Industrial and Commercial Bank of China Limited	Central Huijin Investment	CN	Y	HKEX	1398	CNE1000003G1	HKEX Filings	State-controlled (China).
Warner Bros Discovery	Warner Bros. Discovery, Inc.	Warner Bros. Discovery, Inc.	US	Y	NASDAQ	WBD	US9344231026	SEC Filings	Formed via merger of WarnerMedia and Discovery in 2022.
Raytheon Technologies	RTX Corporation	RTX Corporation	US	Y	NYSE	RTX	US74965L1008	SEC Filings	Rebranded from Raytheon Technologies to RTX in 2023.
Daimler AG	Mercedes-Benz Group AG	Mercedes-Benz Group AG	DE	Y	XETRA	MBG	DE0007100000	Company Filings	Renamed from Daimler AG to Mercedes-Benz Group AG in 2022.
Facebook	Meta Platforms, Inc.	Meta Platforms, Inc.	US	Y	NASDAQ	META	US30303M1027	SEC Filings	Renamed from Facebook, Inc. to Meta Platforms, Inc. in 2021.
Refinitiv	Refinitiv US Holdings Inc.	London Stock Exchange Group plc	GB	Y	LSE	LSEG	GB00B0SWJX34	LSEG Filings	Acquired by London Stock Exchange Group in 2021.
Houlihan Lokey Inc	Houlihan Lokey, Inc.	Houlihan Lokey, Inc.	US	Y	NYSE	HLI	US4415931038	SEC Filings	Global investment bank; focus on M&A, restructuring, and valuation.
ExxonMobil Corporation	Exxon Mobil Corporation	Exxon Mobil Corporation	US	Y	NYSE	XOM	US30231G1022	SEC Filings	Formed via merger of Exxon and Mobil in 1999. Largest US oil major.
Haleon plc	Haleon plc	Haleon plc	GB	Y	LSE	HLN	GB00BMX86B70	LSE Filings	Consumer healthcare giant; spun off from GSK in July 2022.
AIG	American International Group, Inc.	American International Group, Inc.	US	Y	NYSE	AIG	US0268747849	SEC Filings	Global insurance organization. Spun off Corebridge Financial (CRBG) in 2022-2024.
Murata Manufacturing Co Ltd	Murata Manufacturing Co., Ltd.	Murata Manufacturing Co., Ltd.	JP	Y	Tokyo Stock Exchange	6981	JP3914400001	JPX Filings	Leading manufacturer of electronic components, especially ceramic capacitors.
UPM-Kymmene Oyj	UPM-Kymmene Oyj	UPM-Kymmene Oyj	FI	Y	Nasdaq Helsinki	UPM	FI0009005987	Nasdaq Helsinki	Finnish forest industry company; leading producer of graphic papers.
Holcim Ltd	Holcim Ltd	Holcim Ltd	CH	Y	SIX	HOLN	CH0012214059	SIX Filings	Building materials leader. Formerly LafargeHolcim; reverted to Holcim name in 2021.
Telstra Group Limited	Telstra Group Limited	Telstra Group Limited	AU	Y	ASX	TLS	AU000000TLS2	ASX Filings	Australia's largest telecommunications company; restructured into 'Telstra Group' in 2022.
Woolworths Group Limited	Woolworths Group Limited	Woolworths Group Limited	AU	Y	ASX	WOW	AU000000WOW2	ASX Filings	Major Australian retail conglomerate. Spun off Endeavour Group in 2021.
